Match,Day,Date,Time,Stadium,City
Hapoel Haifa vs Ironi Kiryat Shmona,Saturday,2024-11-30,N/A,Sammy Ofer Stadium,Haifa
Maccabi Bnei Raina vs Maccabi Tel Aviv,Saturday,2024-11-30,N/A,Green Stadium,Nazareth Illit
Ashdod vs Ironi Tiberias,Saturday,2024-11-30,N/A,Yud-Alef Stadium,Ashdod
Hapoel Hadera vs Bnei Sakhnin,Saturday,2024-11-30,N/A,Shar-Tov Stadium,Netanya
Bnei Sakhnin vs Hapoel Haifa,Tuesday,2024-12-03,N/A,Doha Stadium,Sakhnin
Ironi Kiryat Shmona vs Hapoel Jerusalem,Tuesday,2024-12-03,N/A,Kiryat-Shmona Municipal Stadium,Kiryat Shmona
Maccabi Bnei Raina vs Ironi Tiberias,Tuesday,2024-12-03,N/A,Green Stadium,Nazareth Illit
Maccabi Netanya vs Ashdod,Tuesday,2024-12-03,N/A,Shar-Tov Stadium,Netanya
Beitar Jerusalem vs Maccabi Petah Tikva,Tuesday,2024-12-03,N/A,Teddy Stadium,Jerusalem
Maccabi Tel Aviv vs Hapoel Hadera,Tuesday,2024-12-03,N/A,Bloomfield Stadium,Tel Aviv
Maccabi Haifa vs Hapoel Be'er Sheva,Tuesday,2024-12-03,N/A,Sammy Ofer Stadium,Haifa
Maccabi Petah Tikva vs Ironi Kiryat Shmona,Saturday,2024-12-07,N/A,HaMoshava Stadium,Petach Tikva
Hapoel Be'er Sheva vs Beitar Jerusalem,Saturday,2024-12-07,N/A,Turner Stadium,Be'er Sheva
Ironi Tiberias vs Maccabi Netanya,Saturday,2024-12-07,N/A,Tiberias Municipal Stadium,Tiberias
Hapoel Haifa vs Maccabi Tel Aviv,Saturday,2024-12-07,N/A,Sammy Ofer Stadium,Haifa
Hapoel Hadera vs Maccabi Bnei Raina,Saturday,2024-12-07,N/A,Shar-Tov Stadium,Netanya
Hapoel Jerusalem vs Bnei Sakhnin,Saturday,2024-12-07,N/A,Teddy Stadium,Jerusalem
Ashdod vs Maccabi Haifa,Saturday,2024-12-07,N/A,Yud-Alef Stadium,Ashdod
Hapoel Haifa vs Hapoel Hadera,Saturday,2024-12-14,N/A,Sammy Ofer Stadium,Haifa
Ashdod vs Beitar Jerusalem,Saturday,2024-12-14,N/A,Yud-Alef Stadium,Ashdod
Hapoel Be'er Sheva vs Ironi Kiryat Shmona,Saturday,2024-12-14,N/A,Turner Stadium,Be'er Sheva
Ironi Tiberias vs Maccabi Haifa,Saturday,2024-12-14,N/A,Tiberias Municipal Stadium,Tiberias
Maccabi Netanya vs Maccabi Bnei Raina,Saturday,2024-12-14,N/A,Shar-Tov Stadium,Netanya
Hapoel Jerusalem vs Maccabi Tel Aviv,Saturday,2024-12-14,N/A,Teddy Stadium,Jerusalem
